ADD_1 , add , Pass , sk3017 , 5 + (-3)
MTLO_1 , mtlo , Pass , sk3107 , moving to lo
MTLO_2 , mthi , Pass , sk3107 , no exepctions
MULT_1 , mult , Pass , sk3107 , checking lo
MULT_2 , mult , Fail , sk3107 , checking hi ex:17 act:0
MULT_3 , mult , Fail , sk3107 , checking sign ex:19 act:0
MULT_4 , mult , Pass , sk3107 , no exeptions
MULTU_1 , multu , Pass , sk3107 , checking lo
MULTU_2 , multu , Fail , sk3107 , checking hi ex:17 act:0
MULTU_3 , multu , Fail , sk3107 , 0 extension ex:13 act:1
MULTU_4 , multu , Pass , sk3107 , no exeptions
OR_1 , or , Pass , ak9717 , 1100 | 0001
OR_2 , or , Fail , ak9717 , 1100 | 1001 ex:13 act:9
ORI_1 , ori , Pass , sk3017 , 1100 | 0001
ORI_2 , ori , Fail , sk3107 , ori 0 extension ex:3 act:69
SB_1 , sb , Pass , sk3017 , storing 4 bytes and reading word
SB_2 , sb , Fail , sk3017 , storing 4 bytes into word w. negative offset ex:5 act:3
SB_3 , sb , Fail , sk3017 , storing to legal memory ex:7 act:3
SB_4 , sb , Fail , sk3017 , storing to illegal memory: 0x24000000 ex:245 act:7
SB_5 , sb , Fail , sk3017 , storing to illegal memory: 0x10000000 ex:245 act:7
SH_1 , sh , Pass , sk3017 , storing 2 half_word and reading word
SH_2 , sh , Fail , sk3017 , storing 2 half_words into word w. negative offset ex:5 act:3
SH_3 , sh , Fail , sk3017 , storing to legal memory ex:11 act:3
SH_4 , sh , Fail , sk3017 , storing to illegal memory: 0x24000000 ex:245 act:7
SH_5 , sh , Fail , sk3017 , storing to illegal memory: 0x10000000 ex:245 act:7
SH_6 , sh , Fail , sk3017 , storing to unaligned memory ex:245 act:7
SLL_1 , sll , Pass , sk3017 , shifting by 1
SLL_2 , sll , Fail , sk3017 , shifting by 31 ex:18 act:5
SLLV_1 , sllv , Pass , sk3017 , shifting by 1
SLLV_2 , sllv , Fail , sk3017 , shifting by 31 ex:0 act:10
SLLV_3 , sllv , Fail , sk3017 , register with non zero bits [31:5] ex:64 act:0
SLT_1 , slt , Pass , ak9717 , -1 < 1
SLT_2 , slt , Pass , sk3017 , a < a
SLT_3 , slt , Fail , sk3017 , -2 < -1 ex:13 act:11
SLT_4 , slt , Pass , sk3017 , no exceptions
SLTI_1 , slti , Pass , sk3107 , -1 < 1
SLTI_2 , slti , Pass , sk3017 , a < a
SLTI_3 , slti , Fail , sk3017 , -2 < -1 ex:13 act:11
SLTI_4 , slti , Pass , sk3017 , no exceptions
SLTIU_1 , sltiu , Pass , sk3107 , -1 < 1
SLTIU_2 , sltiu , Pass , sk3017 , a < a
SLTIU_3 , sltiu , Fail , sk3017 , -2 < -1 ex:13 act:11
SLTIU_4 , sltiu , Pass , sk3017 , no exceptions
SLTU_1 , sltu , Pass , sk3017 , -1 < 1
SLTU_2 , sltu , Pass , sk3017 , a < a
SLTU_3 , sltu , Fail , sk3017 , -2 < -1 ex:13 act:11
SLTU_4 , sltu , Pass , sk3017 , no exceptions
SRA_1 , sra , Pass , sk3017 , shifting by 1
SRA_2 , sra , Fail , sk3017 , shifting by 31 ex:17 act:23
SRL_1 , srl , Pass , sk3017 , shifting by 1
SRL_2 , srl , Pass , sk3017 , shifting by 31
SRLV_1 , srlv , Pass , sk3017 , shifting by 1
SRLV_2 , srlv , Fail , sk3017 , shifting by 31 ex:1 act:10
SRLV_3 , srlv , Fail , sk3017 , register with non zero bits [31:5] ex:35 act:0
SUB_1 , sub , Pass , sk3017 , 10 - (-11)
SUB_2 , sub , Fail , sk3017 , result 0x80000000 ex:35 act:4
SUB_3 , sub , Pass , sk3017 , positive overflow
SUB_4 , sub , Pass , sk3017 , negative overflow
SUBU_1 , subu , Pass , sk3017 , 10 - (-11)
SUBU_2 , subu , Fail , sk3017 , result 0x80000000 ex:35 act:4
SUBU_3 , subu , Pass , sk3017 , no positive overflow
SUBU_4 , subu , Pass , sk3017 , no negative overflow
SW_1 , sw , Pass , sk3017 , storing 2 half_word and reading word
SW_2 , sw , Fail , sk3017 , storing word w. negative offset ex:5 act:3
SW_3 , sw , Fail , sk3017 , storing to legal memory ex:11 act:3
SW_4 , sw , Fail , sk3017 , storing to illegal memory: 0x24000000 ex:245 act:7
SW_5 , sw , Fail , sk3017 , storing to illegal memory: 0x10000000 ex:245 act:7
SW_6 , sw , Fail , sk3017 , storing to unaligned memory ex:245 act:7
XOR_1 , xor , Pass , sk3017 , 0b1100 xor 0b0101
XOR_2 , xor , Fail , sk3017 , a xor b xor b ex:29 act:22
XORI_1 , xori , Pass , sk3017 , 0b1100 xor 0b0101
XORI_2 , xori , Fail , sk3017 , a xor b xor b ex:31 act:11
XORI_3 , xori , Fail , sk3017 , 0 extension ex:73 act:11
GETC_01 , lw , Pass , ak9717 , lw ASCII char
GETC_02 , lb , Fail , ak9717 , lb 0x30000000
GETC_03 , lb , Fail , ak9717 , lb 0x30000001
GETC_04 , lb , Fail , ak9717 , lb 0x30000002
GETC_05 , lb , Fail , ak9717 , lb 0x30000003
GETC_06 , lw , Pass , ak9717 , lw iso8859-1 char
GETC_07 , lbu , Pass , ak9717 , lbu EOF
GETC_08 , lw , Pass , ak9717 , lw EOF
GETC_09 , lhu , Fail , ak9717 , lhu EOF
GETC_10 , lb , Pass , ak9717 , lb EOF
GETC_11 , lh , Fail , ak9717 , lh EOF
PUTC_01 , sw , Pass , ak9717 , sw ASCII char
PUTC_02 , sw , Fail , ak9717 , sw iso8859-1 char
PUTC_03 , sb , Fail , ak9717 , sb 0x30000004
PUTC_04 , sb , Fail , ak9717 , sb 0x30000005
PUTC_05 , sb , Fail , ak9717 , sb 0x30000006
PUTC_06 , sb , Fail , ak9717 , sb 0x30000007
PUTC_07 , sh , Fail , ak9717 , sh 0x30000004
PUTC_08 , sh , Fail , ak9717 , sh 0x30000006
